content,day,person
Tardaste mucho,14/1/20,Paco
Ontas guapo,15/1/20,Paco
Vale,15/1/20,Paco
Ontan guapo,16/1/20,Paco
Huy va voy guapo,16/1/20,Paco
En que salon,16/1/20,Paco
Paco le vamos a dar?,16/1/20,Paco
Va te veo en discord,16/1/20,Paco
<Multimedia omitido>,26/1/20,Paco
Sip ahorita lo redacto para pero si quieres lo redactamos juntos,28/1/20,Paco
Va como as,28/1/20,Paco
Va va bro,28/1/20,Paco
Lo quieres hacer ya pa?,28/1/20,Paco
No sin pedos aun puedo,28/1/20,Paco
Ya pudiste o quieres que te explique,2/2/202,Paco
Si puedes y quieres ahorita en un rato entramos en discord y te digo,2/2/202,Paco
Si por eso jsjs más al rato,2/2/202,Paco
Jaja va dale guapo,2/2/202,Paco
Avisas si quieres sacar discord guapo,3/2/202,Paco
Sipi guapo,3/2/202,Paco
Pa,7/2/202,Paco
Que pex,7/2/202,Paco
Como andas,7/2/202,Paco
Uwo,7/2/202,Paco
"Hay andamos vivos jaja, oye que onda ya me preocupe pa con lo de tu depa si vendrás días antes para ver si buscamos o así, si ocupas ayuda avísame guapo no quiero que acabas abajo de un puente",7/2/202,Paco
Como así pa y crees que si sea seguro,7/2/202,Paco
Aunque sea algo,7/2/202,Paco
Pues si están así la cosas mejor si,7/2/202,Paco
Jaja como asi,9/2/202,Paco
Oye wuapo,10/2/20,Paco
Hoy que volvía del inglés vi que rentan un departamento ahí en la avenida,10/2/20,Paco
Del puente,10/2/20,Paco
Para llegar a chedraui,10/2/20,Paco
Ño jsjs paso muy rápido el rtp pero debería estar en maps,10/2/20,Paco
Y si hay que ver que pex ya nomas faltan 3 dias,10/2/20,Paco
https://drive.google.com/file/d/1T8L-aKj181sUv34ydh0rrovH_ZyDdati/view?usp=sharing,13/2/20,Paco
https://drive.google.com/file/d/19jM95KuU9S8i-SQHeX_MS70MtGUv10OD/view?usp=sharing,13/2/20,Paco
Chi,13/2/20,Paco
Salte,13/2/20,Paco
Ahorita entras,13/2/20,Paco
Un poco se ve que se divierten,13/2/20,Paco
Como así es el primer dia,13/2/20,Paco
<Multimedia omitido>,13/2/20,Paco
Díganle que no deje,13/2/20,Paco
Jajaja como asi,13/2/20,Paco
Hay morras chidas en tu salón?,13/2/20,Paco
Adiosss,13/2/20,Paco
Paquito,13/2/20,Paco
Chi igual tu y rafita,13/2/20,Paco
Si,14/2/20,Paco
Ya llego tu paquete,15/2/20,Paco
Guapo,15/2/20,Paco
Quita espacio de como puedas,16/2/20,Paco
Quitando cosas,16/2/20,Paco
Juntando más el texto,16/2/20,Paco
Oye paco,18/2/20,Paco
Hay lectura de metodología,18/2/20,Paco
Y es para mañana,18/2/20,Paco
<Multimedia omitido>,18/2/20,Paco
Si lo mandamos al grupo pero seme olvido recordarte,18/2/20,Paco
Sii,18/2/20,Paco
Y dijo que espara participar,18/2/20,Paco
Y que preguntara,18/2/20,Paco
Para lluvia de ideas,18/2/20,Paco
Si pero dijo léanlo,18/2/20,Paco
<Multimedia omitido>,20/2/20,Paco
Paco,20/2/20,Paco
Xd,20/2/20,Paco
Ya quedo todo bien pa?,20/2/20,Paco
Nice que bueno entonces ya empezarás a buscar colchón y base? y si se regreso tu hermana?,20/2/20,Paco
Va concuidado we que ya es noche,20/2/20,Paco
Deberías porque sino va ser una vueltota,20/2/20,Paco
Aparte andas cansado,20/2/20,Paco
Jaja bueno eso si,20/2/20,Paco
Y ya no hay casi gente,20/2/20,Paco
Jaja exacto igual no creo que te cobre mucho,20/2/20,Paco
Si uwu me gusto la encb paco,20/2/20,Paco
La morra de encb de voly,20/2/20,Paco
No haría eso,20/2/20,Paco
Jaja,20/2/20,Paco
Siii hoy dino mike me la presento,20/2/20,Paco
Nooooooo,20/2/20,Paco
Poquito sobre la tortura que les está dando hugo,20/2/20,Paco
Si we un vergo 4 series de 30 lagartijas y abdominales luego dar la vuelta  a la cancha,20/2/20,Paco
Eso si,20/2/20,Paco
Si la neta pero paco que buen culo tiene,20/2/20,Paco
Si la neta osea es genética pero algo de ejercicio tambien,20/2/20,Paco
Y si Jaja pero nada como la de esime,20/2/20,Paco
Chiiiii entonces ya desde el lunes te vendrás para acá o te esperaras?,20/2/20,Paco
Si sin pedos we no ma ni los colchones bimbo se ven así,20/2/20,Paco
Vava esperemos si te lo den limpio,20/2/20,Paco
Si lo normal para que no haya nada raro,20/2/20,Paco
Si si este rafa se enamoro de una en la alberca,20/2/20,Paco
La neta we aunque solo busco que tengan bonitos sentimientos,20/2/20,Paco
Jaja,20/2/20,Paco
Hay obvio jaja mira si tienen más almohadas que mi cama ufff un 10 inmediato,20/2/20,Paco
<Multimedia omitido>,20/2/20,Paco
La neta we pero no se la neta esa morra de voly si me latió mucho aver si se arma jaja no creo que el eddy la quiera el es como tu tiene viejas debajo de la s puedras,20/2/20,Paco
Como no solo que tu no les haces caso,20/2/20,Paco
Jaja pero si traes asi,20/2/20,Paco
Se veía hasta alexia,20/2/20,Paco
Marta,20/2/20,Paco
Y quien sabe cuantas mas,20/2/20,Paco
Jajaj,20/2/20,Paco
Mira yo veía que se acercaba a ti de formas raras,20/2/20,Paco
"Exacto porque tuvo huevos y huevitos, ahora cuantas no tienen huevos",20/2/20,Paco
No se pero yo si sentía que le llamabas la atención,20/2/20,Paco
Aparte otra a vane también le gustaste por eso te digo en las piedras,20/2/20,Paco
Jaja pues cuantas vanes tienes,20/2/20,Paco
Jaja,20/2/20,Paco
Si tu dices yo solo se que si preguntamos en la escuela acabas con más de 5 culos,20/2/20,Paco
https://www.facebook.com/share/v/X7RzsWF1yTDGFnc4/?mibextid=xfxF2i,20/2/20,Paco
Mira pa,20/2/20,Paco
Jaja y cuales son las 2 que si juntas jaja,20/2/20,Paco
Si abre en marzo,20/2/20,Paco
Na mira voy a ser una encuesta  aver a cuantas les gustas,20/2/20,Paco
Eso si pa pero acá con el de 400 trae hasta corte de pelo,20/2/20,Paco
La neta,20/2/20,Paco
Jaja será en fines de la ciencia,20/2/20,Paco
No te dieron clase?,21/2/20,Paco
Ontas,21/2/20,Paco
Paco,21/2/20,Paco
Tras 25 baros,21/2/20,Paco
Me los prestas jaja esque nomas traigo en tarjeta,21/2/20,Paco
Y me quiero ir en taxi xd,21/2/20,Paco
Voy,21/2/20,Paco
Ontan,22/2/20,Paco
Jaja xd,22/2/20,Paco
Vale,22/2/20,Paco
Ontas y porque de camino,23/2/20,Paco
Y que pex si o Nelson?,23/2/20,Paco
Te veo en la puerta,23/2/20,Paco
Pa,23/2/20,Paco
De escom,23/2/20,Paco
Y si,23/2/20,Paco
Igual voy xd,23/2/20,Paco
Paco dice mi mamá que si no quieren un esterio sony,25/2/20,Paco
Ntp,25/2/20,Paco
Y si,25/2/20,Paco
Que onda pa,26/2/20,Paco
Como estuvo el rollo,26/2/20,Paco
Entonces que pex,26/2/20,Paco
Hasta cuando?,26/2/20,Paco
A,26/2/20,Paco
Xd,26/2/20,Paco
Pero ya te dijo que Nelson hasta marzo?,26/2/20,Paco
A vale esperemos que pronto,26/2/20,Paco
Vente a clases,26/2/20,Paco
Izzi,26/2/20,Paco
Tan pendejisimos,26/2/20,Paco
Si esa es gratis,26/2/20,Paco
Va pa para ver que pex igual aver si sigue abierto,26/2/20,Paco
Si ese es el pex,26/2/20,Paco
F,26/2/20,Paco
<Multimedia omitido>,26/2/20,Paco
Porque no ves lo del total,26/2/20,Paco
Bueno eso si,26/2/20,Paco
Hay mandas fotos de como quedas pai,26/2/20,Paco
